datetime_date,month_7,month_8,week_of_month_1,week_of_month_2,week_of_month_3,week_of_month_4,week_of_month_5,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,Wind Speed_int,Temperature_int,Humidity_int
2022-07-31,True,False,False,False,False,False,True,False,False,False,False,False,False,True,4,84,79
2022-07-30,True,False,False,False,False,False,True,False,False,False,False,False,True,False,7,82,79
2022-07-29,True,False,False,False,False,False,True,False,False,False,False,True,False,False,2,86,58
2022-07-28,True,False,False,False,False,True,False,False,False,False,True,False,False,False,9,73,88
2022-07-27,True,False,False,False,False,True,False,False,False,True,False,False,False,False,4,77,89
2022-07-26,True,False,False,False,False,True,False,False,True,False,False,False,False,False,2,88,58
2022-07-25,True,False,False,False,False,True,False,True,False,False,False,False,False,False,4,86,62
2022-07-24,True,False,False,False,False,True,False,False,False,False,False,False,False,True,4,84,70
2022-07-23,True,False,False,False,False,True,False,False,False,False,False,False,True,False,4,84,58
2022-07-22,True,False,False,False,False,True,False,False,False,False,False,True,False,False,4,86,62
2022-07-21,True,False,False,False,True,False,False,False,False,False,True,False,False,False,2,84,62
2022-07-20,True,False,False,False,True,False,False,False,False,True,False,False,False,False,4,84,70
2022-07-19,True,False,False,False,True,False,False,False,True,False,False,False,False,False,4,86,48
2022-07-18,True,False,False,False,True,False,False,True,False,False,False,False,False,False,7,90,40
2022-07-17,True,False,False,False,True,False,False,False,False,False,False,False,False,True,7,90,55
2022-07-16,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4,88,52
2022-07-15,True,False,False,False,True,False,False,False,False,False,False,True,False,False,4,88,49
2022-07-14,True,False,False,True,False,False,False,False,False,False,True,False,False,False,9,90,40
2022-07-13,True,False,False,True,False,False,False,False,False,True,False,False,False,False,4,84,66
2022-07-12,True,False,False,True,False,False,False,False,True,False,False,False,False,False,7,70,100
2022-07-11,True,False,False,True,False,False,False,True,False,False,False,False,False,False,2,81,61
2022-07-10,True,False,False,True,False,False,False,False,False,False,False,False,False,True,2,73,88
2022-07-09,True,False,False,True,False,False,False,False,False,False,False,False,True,False,7,90,49
2022-07-08,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9,88,58
2022-07-07,True,False,True,False,False,False,False,False,False,False,True,False,False,False,4,88,58
2022-07-06,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2,79,83
2022-07-05,True,False,True,False,False,False,False,False,True,False,False,False,False,False,4,82,89
2022-07-04,True,False,True,False,False,False,False,True,False,False,False,False,False,False,7,81,84
2022-07-03,True,False,True,False,False,False,False,False,False,False,False,False,False,True,7,73,94
2022-07-02,True,False,True,False,False,False,False,False,False,False,False,False,True,False,2,84,74
2022-07-01,True,False,True,False,False,False,False,False,False,False,False,True,False,False,4,77,89
2022-08-31,False,True,False,False,False,False,True,False,False,True,False,False,False,False,7,82,45
2022-08-30,False,True,False,False,False,False,True,False,True,False,False,False,False,False,4,77,61
2022-08-29,False,True,False,False,False,False,True,True,False,False,False,False,False,False,2,70,68
2022-08-28,False,True,False,False,False,True,False,False,False,False,False,False,False,True,2,68,68
2022-08-27,False,True,False,False,False,True,False,False,False,False,False,False,True,False,4,77,32
2022-08-26,False,True,False,False,False,True,False,False,False,False,False,True,False,False,16,75,50
2022-08-25,False,True,False,False,False,True,False,False,False,False,True,False,False,False,9,82,42
2022-08-24,False,True,False,False,False,True,False,False,False,True,False,False,False,False,2,75,57
2022-08-23,False,True,False,False,False,True,False,False,True,False,False,False,False,False,7,77,47
2022-08-22,False,True,False,False,False,True,False,True,False,False,False,False,False,False,11,84,70
2022-08-21,False,True,False,False,True,False,False,False,False,False,False,False,False,True,4,81,74
2022-08-20,False,True,False,False,True,False,False,False,False,False,False,False,True,False,4,81,74
2022-08-19,False,True,False,False,True,False,False,False,False,False,False,True,False,False,18,86,45
2022-08-18,False,True,False,False,True,False,False,False,False,False,True,False,False,False,4,73,100
2022-08-17,False,True,False,False,True,False,False,False,False,True,False,False,False,False,4,79,78
2022-08-16,False,True,False,False,True,False,False,False,True,False,False,False,False,False,4,84,45
2022-08-15,False,True,False,False,True,False,False,True,False,False,False,False,False,False,16,88,49
2022-08-14,False,True,False,True,False,False,False,False,False,False,False,False,False,True,4,73,94
2022-08-13,False,True,False,True,False,False,False,False,False,False,False,False,True,False,4,84,74
2022-08-12,False,True,False,True,False,False,False,False,False,False,False,True,False,False,4,84,74
2022-08-11,False,True,False,True,False,False,False,False,False,False,True,False,False,False,2,82,70
2022-08-10,False,True,False,True,False,False,False,False,False,True,False,False,False,False,4,79,69
2022-08-09,False,True,False,True,False,False,False,False,True,False,False,False,False,False,7,72,94
2022-08-08,False,True,False,True,False,False,False,True,False,False,False,False,False,False,9,82,54
2022-08-07,False,True,True,False,False,False,False,False,False,False,False,False,False,True,4,84,89
2022-08-06,False,True,True,False,False,False,False,False,False,False,False,False,True,False,4,86,84
2022-08-05,False,True,True,False,False,False,False,False,False,False,False,True,False,False,2,90,66
2022-08-04,False,True,True,False,False,False,False,False,False,False,True,False,False,False,4,90,75
2022-08-03,False,True,True,False,False,False,False,False,False,True,False,False,False,False,7,90,75
2022-08-02,False,True,True,False,False,False,False,False,True,False,False,False,False,False,2,88,75
2022-08-01,False,True,True,False,False,False,False,True,False,False,False,False,False,False,2,88,75
